,image,cat,cow,dog,horse,sheep,bounds_x,bounds_y,bounds_width,bounds_height,L_eye_v,L_eye_x,L_eye_y,R_eye_v,R_eye_x,R_eye_y,L_ear_v,L_ear_x,L_ear_y,R_ear_v,R_ear_x,R_ear_y,Nose_v,Nose_x,Nose_y,Throat_v,Throat_x,Throat_y,Tail_v,Tail_x,Tail_y,withers_v,withers_x,withers_y,L_F_elbow_v,L_F_elbow_x,L_F_elbow_y,R_F_elbow_v,R_F_elbow_x,R_F_elbow_y,L_B_elbow_v,L_B_elbow_x,L_B_elbow_y,R_B_elbow_v,R_B_elbow_x,R_B_elbow_y,L_F_knee_v,L_F_knee_x,L_F_knee_y,R_F_knee_v,R_F_knee_x,R_F_knee_y,L_B_knee_v,L_B_knee_x,L_B_knee_y,R_B_knee_v,R_B_knee_x,R_B_knee_y,L_F_paw_v,L_F_paw_x,L_F_paw_y,R_F_paw_v,R_F_paw_x,R_F_paw_y,L_B_paw_v,L_B_paw_x,L_B_paw_y,R_B_paw_v,R_B_paw_x,R_B_paw_y,nothing,stand,sit,lie,go,run
0,000.jpeg,1,0,0,0,0,0.006666666666666667,0.023809523809523808,0.9866666666666667,0.9714285714285714,1,0.5933333333333334,0.3380952380952381,1,0.44,0.30952380952380953,1,0.6766666666666666,0.15714285714285714,1,0.39,0.09047619047619047,1,0.5133333333333333,0.4095238095238095,1,0.5233333333333333,0.5666666666666667,0,0.0,0.0,0,0.0,0.0,1,0.71,0.6952380952380952,1,0.31333333333333335,0.6190476190476191,0,0.0,0.0,0,0.0,0.0,1,0.8833333333333333,0.7714285714285715,1,0.24,0.7523809523809524,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.02,0.8285714285714286,0,0.0,0.0,0,0.0,0.0,0,0,0,1,0,0
1,001.jpeg,1,0,0,0,0,0.06872852233676977,0.02666666666666667,0.8934707903780069,0.9533333333333334,1,0.6941580756013745,0.48333333333333334,1,0.3402061855670103,0.49666666666666665,1,0.852233676975945,0.15333333333333332,1,0.15807560137457044,0.18666666666666668,1,0.5051546391752577,0.6333333333333333,1,0.5017182130584192,0.92,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0
2,002.jpeg,1,0,0,0,0,0.016666666666666666,0.04526748971193416,0.94,0.9218106995884774,1,0.6333333333333333,0.5308641975308642,1,0.43333333333333335,0.51440329218107,1,0.8,0.30864197530864196,1,0.34,0.25102880658436216,1,0.5333333333333333,0.5596707818930041,1,0.5133333333333333,0.823045267489712,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0
3,003.jpeg,1,0,0,0,0,0.03,0.05263157894736842,0.9133333333333333,0.9230769230769231,1,0.7366666666666667,0.3441295546558704,1,0.5966666666666667,0.3684210526315789,1,0.8166666666666667,0.13360323886639677,1,0.48333333333333334,0.16194331983805668,1,0.6666666666666666,0.3724696356275304,1,0.6833333333333333,0.5263157894736842,1,0.15333333333333332,0.5141700404858299,1,0.41333333333333333,0.291497975708502,1,0.7733333333333333,0.708502024291498,1,0.43333333333333335,0.6882591093117408,0,0.0,0.0,1,0.21,0.7246963562753036,1,0.7,0.8137651821862348,1,0.49666666666666665,0.8340080971659919,0,0.0,0.0,1,0.25,0.8340080971659919,1,0.7266666666666667,0.9190283400809717,1,0.48,0.9433198380566802,0,0.0,0.0,1,0.29,0.8947368421052632,0,1,0,0,0,0
4,004.jpeg,1,0,0,0,0,0.08333333333333333,0.0,0.7866666666666666,0.9777777777777777,1,0.5933333333333334,0.3511111111111111,1,0.38,0.44,1,0.65,0.08888888888888889,1,0.15666666666666668,0.21333333333333335,1,0.52,0.5244444444444445,1,0.5333333333333333,0.7288888888888889,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0,0
5,005.jpeg,1,0,0,0,0,0.20333333333333334,0.11555555555555555,0.5533333333333333,0.7466666666666667,1,0.3466666666666667,0.35555555555555557,1,0.28,0.35555555555555557,1,0.4033333333333333,0.18222222222222223,1,0.25,0.19111111111111112,1,0.31666666666666665,0.4222222222222222,1,0.3933333333333333,0.4088888888888889,1,0.7266666666666667,0.7377777777777778,1,0.5333333333333333,0.2577777777777778,1,0.51,0.5333333333333333,1,0.4266666666666667,0.5377777777777778,1,0.64,0.7155555555555555,0,0.0,0.0,1,0.49666666666666665,0.6844444444444444,1,0.45,0.68,1,0.5666666666666667,0.7822222222222223,0,0.0,0.0,1,0.4666666666666667,0.7911111111111111,1,0.43333333333333335,0.7733333333333333,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0,0
6,006.jpeg,1,0,0,0,0,0.12982456140350876,0.0,0.8,0.9933333333333333,1,0.775438596491228,0.2633333333333333,1,0.5543859649122806,0.31,1,0.7894736842105263,0.03333333333333333,1,0.38596491228070173,0.11666666666666667,1,0.6666666666666666,0.32666666666666666,1,0.6982456140350877,0.49666666666666665,0,0.0,0.0,1,0.3017543859649123,0.3333333333333333,1,0.7473684210526316,0.7233333333333334,1,0.3894736842105263,0.69,0,0.0,0.0,1,0.20350877192982456,0.63,1,0.6631578947368421,0.85,1,0.4280701754385965,0.82,0,0.0,0.0,1,0.23859649122807017,0.7566666666666667,1,0.6491228070175439,0.9533333333333334,1,0.43508771929824563,0.9033333333333333,0,0.0,0.0,1,0.2807017543859649,0.8466666666666667,0,0,1,0,0,0
7,007.jpeg,1,0,0,0,0,0.01,0.0,0.98,0.9848484848484849,1,0.69,0.553030303030303,1,0.31,0.5340909090909091,1,0.8866666666666667,0.08333333333333333,1,0.11333333333333333,0.07196969696969698,1,0.4666666666666667,0.8068181818181818,1,0.5266666666666666,0.9886363636363636,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0
8,008.jpeg,1,0,0,0,0,0.014423076923076924,0.013333333333333334,0.9423076923076923,0.9466666666666667,1,0.6490384615384616,0.23,1,0.4855769230769231,0.23,1,0.7740384615384616,0.07,1,0.3894230769230769,0.08333333333333333,1,0.5673076923076923,0.29333333333333333,1,0.6490384615384616,0.38,1,0.0625,0.83,1,0.32211538461538464,0.42333333333333334,1,0.8509615384615384,0.6133333333333333,1,0.6009615384615384,0.6533333333333333,0,0.0,0.0,1,0.38461538461538464,0.7666666666666667,1,0.8461538461538461,0.78,1,0.6778846153846154,0.7966666666666666,0,0.0,0.0,0,0.0,0.0,1,0.875,0.8566666666666667,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0,0
9,009.jpeg,1,0,0,0,0,0.09666666666666666,0.14457831325301204,0.5666666666666667,0.7469879518072289,1,0.4666666666666667,0.3534136546184739,1,0.38,0.3534136546184739,1,0.43,0.18072289156626506,1,0.24666666666666667,0.21285140562248997,1,0.44666666666666666,0.40562248995983935,1,0.4033333333333333,0.5461847389558233,0,0.0,0.0,0,0.0,0.0,1,0.5233333333333333,0.5823293172690763,1,0.22,0.6224899598393574,0,0.0,0.0,0,0.0,0.0,1,0.53,0.6666666666666666,1,0.27666666666666667,0.7349397590361446,0,0.0,0.0,0,0.0,0.0,1,0.5866666666666667,0.7951807228915663,1,0.32,0.8232931726907631,0,0.0,0.0,0,0.0,0.0,0,0,0,1,0,0
