,image,dog,bounds_x_before,bounds_x,bounds_y_before,bounds_y,bounds_width_before,bounds_width,bounds_height_before,bounds_height,L_eye_v,L_eye_x_before,L_eye_x,L_eye_y_before,L_eye_y,R_eye_v,R_eye_x_before,R_eye_x,R_eye_y_before,R_eye_y,L_ear_v,L_ear_x_before,L_ear_x,L_ear_y_before,L_ear_y,R_ear_v,R_ear_x_before,R_ear_x,R_ear_y_before,R_ear_y,Nose_v,Nose_x_before,Nose_x,Nose_y_before,Nose_y,Throat_v,Throat_x_before,Throat_x,Throat_y_before,Throat_y,Tail_v,Tail_x_before,Tail_x,Tail_y_before,Tail_y,withers_v,withers_x_before,withers_x,withers_y_before,withers_y,L_F_elbow_v,L_F_elbow_x_before,L_F_elbow_x,L_F_elbow_y_before,L_F_elbow_y,R_F_elbow_v,R_F_elbow_x_before,R_F_elbow_x,R_F_elbow_y_before,R_F_elbow_y,L_B_elbow_v,L_B_elbow_x_before,L_B_elbow_x,L_B_elbow_y_before,L_B_elbow_y,R_B_elbow_v,R_B_elbow_x_before,R_B_elbow_x,R_B_elbow_y_before,R_B_elbow_y,L_F_knee_v,L_F_knee_x_before,L_F_knee_x,L_F_knee_y_before,L_F_knee_y,R_F_knee_v,R_F_knee_x_before,R_F_knee_x,R_F_knee_y_before,R_F_knee_y,L_B_knee_v,L_B_knee_x_before,L_B_knee_x,L_B_knee_y_before,L_B_knee_y,R_B_knee_v,R_B_knee_x_before,R_B_knee_x,R_B_knee_y_before,R_B_knee_y,L_F_paw_v,L_F_paw_x_before,L_F_paw_x,L_F_paw_y_before,L_F_paw_y,R_F_paw_v,R_F_paw_x_before,R_F_paw_x,R_F_paw_y_before,R_F_paw_y,L_B_paw_v,L_B_paw_x_before,L_B_paw_x,L_B_paw_y_before,L_B_paw_y,R_B_paw_v,R_B_paw_x_before,R_B_paw_x,R_B_paw_y_before,R_B_paw_y,height,width
379,379.jpeg,1,0.21,63,0,0,0.433333333,130,0.986666667,222,1,0.48,144,0.288888889,65,1,0.36,108,0.293333333,66,1,0.526666667,158,0.102222222,23,1,0.293333333,88,0.12,27,1,0.416666667,125,0.404444444,91,1,0.406666667,122,0.537777778,121,0,0,0,0,0,0,0,0,0,0,1,0.51,153,0.582222222,131,1,0.346666667,104,0.573333333,129,0,0,0,0,0,0,0,0,0,0,1,0.466666667,140,0.617777778,139,1,0.306666667,92,0.626666667,141,0,0,0,0,0,0,0,0,0,0,1,0.406666667,122,0.671111111,151,1,0.256666667,77,0.697777778,157,0,0,0,0,0,0,0,0,0,0,225,300
380,380.jpeg,1,0.156666667,47,0.05,10,0.706666667,212,0.89,178,0,0,0,0,0,1,0.773333333,232,0.2,40,1,0.73,219,0.105,21,1,0.71,213,0.125,25,1,0.853333333,256,0.245,49,1,0.726666667,218,0.395,79,1,0.256666667,77,0.545,109,1,0.556666667,167,0.335,67,0,0,0,0,0,1,0.613333333,184,0.605,121,1,0.393333333,118,0.68,136,1,0.323333333,97,0.67,134,1,0.65,195,0.775,155,1,0.62,186,0.845,169,1,0.283333333,85,0.855,171,1,0.176666667,53,0.82,164,0,0,0,0,0,1,0.653333333,196,0.915,183,0,0,0,0,0,0,0,0,0,0,200,300
381,381.jpeg,1,0.33,99,0.07,14,0.653333333,196,0.84,168,1,0.433333333,130,0.26,52,0,0,0,0,0,1,0.516666667,155,0.165,33,1,0.493333333,148,0.155,31,1,0.34,102,0.345,69,1,0.52,156,0.475,95,0,0,0,0,0,1,0.686666667,206,0.465,93,1,0.61,183,0.615,123,1,0.5,150,0.635,127,1,0.836666667,251,0.595,119,0,0,0,0,0,1,0.643333333,193,0.77,154,1,0.48,144,0.755,151,0,0,0,0,0,0,0,0,0,0,1,0.503333333,151,0.845,169,1,0.406666667,122,0.825,165,1,0.853333333,256,0.71,142,0,0,0,0,0,200,300
382,382.jpeg,1,0.102222222,23,0.04,12,0.728888889,164,0.773333333,232,1,0.364444444,82,0.203333333,61,0,0,0,0,0,1,0.542222222,122,0.126666667,38,0,0,0,0,0,1,0.217777778,49,0.32,96,1,0.453333333,102,0.45,135,0,0,0,0,0,0,0,0,0,0,1,0.702222222,158,0.503333333,151,1,0.351111111,79,0.526666667,158,0,0,0,0,0,0,0,0,0,0,1,0.626666667,141,0.683333333,205,1,0.355555556,80,0.666666667,200,0,0,0,0,0,0,0,0,0,0,1,0.568888889,128,0.746666667,224,1,0.275555556,62,0.7,210,0,0,0,0,0,0,0,0,0,0,300,225
383,383.jpeg,1,0.102678571,23,0.313333333,94,0.794642857,178,0.553333333,166,1,0.205357143,46,0.466666667,140,0,0,0,0,0,1,0.339285714,76,0.426666667,128,0,0,0,0,0,1,0.116071429,26,0.496666667,149,1,0.357142857,80,0.536666667,161,1,0.875,196,0.673333333,202,1,0.508928571,114,0.416666667,125,1,0.455357143,102,0.57,171,0,0,0,0,0,1,0.714285714,160,0.65,195,0,0,0,0,0,1,0.321428571,72,0.573333333,172,0,0,0,0,0,1,0.642857143,144,0.8,240,0,0,0,0,0,1,0.267857143,60,0.63,189,1,0.285714286,64,0.71,213,1,0.522321429,117,0.843333333,253,0,0,0,0,0,300,224
384,384.jpeg,1,0.383333333,115,0.14,42,0.38,114,0.706666667,212,1,0.65,195,0.186666667,56,1,0.593333333,178,0.196666667,59,0,0,0,0,0,1,0.486666667,146,0.183333333,55,1,0.7,210,0.246666667,74,1,0.536666667,161,0.383333333,115,0,0,0,0,0,0,0,0,0,0,1,0.596666667,179,0.553333333,166,1,0.436666667,131,0.533333333,160,1,0.716666667,215,0.526666667,158,1,0.636666667,191,0.556666667,167,1,0.563333333,169,0.716666667,215,1,0.46,138,0.69,207,1,0.713333333,214,0.653333333,196,1,0.66,198,0.626666667,188,1,0.543333333,163,0.806666667,242,1,0.466666667,140,0.75,225,1,0.7,210,0.723333333,217,1,0.656666667,197,0.71,213,300,300
385,385.jpeg,1,0.003333333,1,0.142222222,32,0.686666667,206,0.853333333,192,1,0.54,162,0.302222222,68,1,0.42,126,0.32,72,1,0.633333333,190,0.328888889,74,1,0.32,96,0.333333333,75,1,0.486666667,146,0.471111111,106,1,0.48,144,0.666666667,150,0,0,0,0,0,0,0,0,0,0,1,0.5,150,0.92,207,1,0.32,96,0.897777778,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,300
386,386.jpeg,1,0.056666667,17,0.07,14,0.54,162,0.89,178,1,0.443333333,133,0.295,59,1,0.343333333,103,0.305,61,1,0.513333333,154,0.15,30,1,0.286666667,86,0.165,33,1,0.4,120,0.38,76,1,0.413333333,124,0.575,115,0,0,0,0,0,0,0,0,0,0,1,0.456666667,137,0.645,129,1,0.34,102,0.65,130,0,0,0,0,0,0,0,0,0,0,1,0.473333333,142,0.815,163,1,0.353333333,106,0.815,163,0,0,0,0,0,0,0,0,0,0,1,0.476666667,143,0.895,179,1,0.38,114,0.895,179,0,0,0,0,0,0,0,0,0,0,200,300
387,387.jpeg,1,0.01,3,0.213333333,64,0.913333333,274,0.76,228,1,0.713333333,214,0.316666667,95,1,0.613333333,184,0.323333333,97,1,0.82,246,0.31,93,1,0.526666667,158,0.316666667,95,1,0.666666667,200,0.37,111,1,0.686666667,206,0.596666667,179,0,0,0,0,0,0,0,0,0,0,1,0.833333333,250,0.77,231,1,0.58,174,0.766666667,230,0,0,0,0,0,1,0.313333333,94,0.803333333,241,1,0.87,261,0.85,255,1,0.603333333,181,0.866666667,260,0,0,0,0,0,0,0,0,0,0,1,0.88,264,0.91,273,1,0.786666667,236,0.896666667,269,0,0,0,0,0,0,0,0,0,0,300,300
388,388.jpeg,1,0.03,9,0.251336898,47,0.946666667,284,0.556149733,104,1,0.213333333,64,0.465240642,87,1,0.17,51,0.588235294,110,1,0.1,30,0.368983957,69,1,0.056666667,17,0.545454545,102,1,0.266666667,80,0.588235294,110,1,0.36,108,0.561497326,105,0,0,0,0,0,0,0,0,0,0,1,0.546666667,164,0.368983957,69,0,0,0,0,0,1,0.653333333,196,0.331550802,62,1,0.706666667,212,0.540106952,101,1,0.696666667,209,0.598930481,112,1,0.563333333,169,0.663101604,124,1,0.76,228,0.411764706,77,1,0.77,231,0.529411765,99,1,0.806666667,242,0.689839572,129,1,0.66,198,0.721925134,135,0,0,0,0,0,1,0.913333333,274,0.550802139,103,187,300
